Name	Year of birth	Year of death	Nationality	Notable 20th-century works	Remarks	URL	Pageviews
Fazıl Say	1970		Turkish	1001 Nights in the Harem,Istanbul Symphony	Piano symphonyTurkish music (style)	https://en.wikipedia.org/wiki/Faz%C4%B1l_Say	51135.0
Moritz Moszkowski	1854	1925.0	German-Polish			https://en.wikipedia.org/wiki/Moritz_Moszkowski	50968.0
Wojciech Kilar	1932	2013.0	Polish	Krzesany	holy minimalism; also composer of film music:Dracula(film music)	https://en.wikipedia.org/wiki/Wojciech_Kilar	50944.0
Franz Lehár	1870	1948.0	Hungarian	Der Graf von Luxemburg,Der Zarewitsch	operettas	https://en.wikipedia.org/wiki/Franz_Leh%C3%A1r	50033.0
Joseph Joachim	1831	1907.0	Hungarian			https://en.wikipedia.org/wiki/Joseph_Joachim	49101.0
Sergiu Celibidache	1912	1996.0	Romanian	Der Taschengarten	Neoclassicism	https://en.wikipedia.org/wiki/Sergiu_Celibidache	48541.0
José Maceda	1917	2004.0	Filipino			https://en.wikipedia.org/wiki/Jos%C3%A9_Maceda	48506.0
Pablo de Sarasate	1844	1908.0	Spanish			https://en.wikipedia.org/wiki/Pablo_de_Sarasate	48378.0
Howard Blake	1938		English			https://en.wikipedia.org/wiki/Howard_Blake	48109.0
Arthur Honegger	1892	1955.0	Swiss	"Symphony No. 3 ""Liturgique"";Pacific 231"	neoclassicism; also a composer of film music:Les Misérables	https://en.wikipedia.org/wiki/Arthur_Honegger	47695.0
Paul Le Flem	1881	1984.0	French			https://en.wikipedia.org/wiki/Paul_Le_Flem	47435.0
Anthony Braxton	1945		American			https://en.wikipedia.org/wiki/Anthony_Braxton	47365.0
Kaikhosru Shapurji Sorabji	1892	1988.0	English	"Opus clavicembalisticum;100 Transcendental Studies;Sequentia cyclica super ""Dies irae"" ex Missa pro defunctis; Piano Symphony No. 2;""Gulistān"" – Nocturne for Piano"	neoclassical,neoromantic,postimpressionistic	https://en.wikipedia.org/wiki/Kaikhosru_Shapurji_Sorabji	47361.0
Charles Villiers Stanford	1852	1924.0	Irish	SixIrish Rhapsodies	Romanticism	https://en.wikipedia.org/wiki/Charles_Villiers_Stanford	47288.0
Alexander Vasilyevich Alexandrov	1883	1946.0	Russian			https://en.wikipedia.org/wiki/Alexander_Vasilyevich_Alexandrov	47257.0
Julius Eastman	1940	1990.0	American			https://en.wikipedia.org/wiki/Julius_Eastman	47015.0
Witold Lutosławski	1913	1994.0	Polish	Concerto for Orchestra;Jeux vénitiens;Musique funebre;Symphony No. 2;Symphony No. 3	Neoclassicism, folk-influenced, laterAleatoric music	https://en.wikipedia.org/wiki/Witold_Lutos%C5%82awski	46995.0
Max Brod	1884	1968.0	Czech			https://en.wikipedia.org/wiki/Max_Brod	46835.0
Pietro Mascagni	1863	1945.0	Italian	Amica	verismo	https://en.wikipedia.org/wiki/Pietro_Mascagni	46713.0
Malcolm Arnold	1921	2006.0	English	Symphony No. 5andNo. 7;English Dances		https://en.wikipedia.org/wiki/Malcolm_Arnold	46484.0
Tōru Takemitsu	1930	1996.0	Japanese	A Flock Descends into the Pentagonal Garden;Toward the Sea	neo-impressionism	https://en.wikipedia.org/wiki/T%C5%8Dru_Takemitsu	46132.0
Paul Dukas	1865	1935.0	French	La Péri(ballet)		https://en.wikipedia.org/wiki/Paul_Dukas	45895.0
Reynaldo Hahn	1874	1947.0	Venezuelan/French	Ciboulette(Opera)		https://en.wikipedia.org/wiki/Reynaldo_Hahn	45753.0
Pierre Schaeffer	1910	1995.0	French		Musique concrète	https://en.wikipedia.org/wiki/Pierre_Schaeffer	45357.0
Julius Fučík	1872	1916.0	Czech	Entrance of the Gladiators		https://en.wikipedia.org/wiki/Julius_Fu%C4%8D%C3%ADk_(composer)	45327.0
Sofia Gubaidulina	1931		Russian	Offertorium;Music for Flute, Strings, and Percussion		https://en.wikipedia.org/wiki/Sofia_Gubaidulina	45294.0
Mikalojus Konstantinas Čiurlionis	1875	1911.0	Lithuanian			https://en.wikipedia.org/wiki/Mikalojus_Konstantinas_%C4%8Ciurlionis	45039.0
Elliott Carter	1908	2012.0	American	Variations for Orchestra;A Symphony of Three Orchestras; 5 string quartets	neoclassical(early),modernist	https://en.wikipedia.org/wiki/Elliott_Carter	44960.0
Farid El-Atrache	1910	1974.0	Syrian-Egyptian			https://en.wikipedia.org/wiki/Farid_al-Atrash	44196.0
James MacMillan	1959		Scottish	The Sacrifice;Veni veni Emmanuel(percussion concerto);The Confession of Isobel Gowdie;St. John Passion; 3 symphonies		https://en.wikipedia.org/wiki/James_MacMillan	44153.0
Eugen Doga	1937		Moldovan	My Sweet and Tender Beast Waltz, Gramophone Waltz		https://en.wikipedia.org/wiki/Eugen_Doga	43626.0
Glenn Branca	1948	2018.0	American		avant-garde	https://en.wikipedia.org/wiki/Glenn_Branca	43473.0
Reinhold Glière	1875	1956.0	Russian	Horn Concerto;The Red Poppy	Romanticism	https://en.wikipedia.org/wiki/Reinhold_Gli%C3%A8re	43369.0
Bohuslav Martinů	1890	1959.0	Czech	Double Concerto for Two String Orchestras, Piano, and Timpani,Symphony No. 3,No. 4, andNo. 6; operasJuliettaandThe Greek Passion;Gilgamesh(oratorio)	neoclassicism, folk-influenced	https://en.wikipedia.org/wiki/Bohuslav_Martin%C5%AF	43298.0
Enrique Granados	1867	1916.0	Spanish	Goyescas(piano suite);Goyescas		https://en.wikipedia.org/wiki/Enrique_Granados	43169.0
Gerald Finzi	1901	1956.0	English	Cello Concerto; songs	neoromantic	https://en.wikipedia.org/wiki/Gerald_Finzi	43086.0
Thomas Adès	1971		English	Powder Her Face;Asyla;Traced Overhead		https://en.wikipedia.org/wiki/Thomas_Ad%C3%A8s	42509.0
Valentyn Silvestrov	1937		Ukrainian	Symphony No. 5		https://en.wikipedia.org/wiki/Valentyn_Silvestrov	42454.0
Milton Babbitt	1916	2011.0	American	Composition for Four Instruments;String Quartet No. 2;All Set;Philomel	serialism,electronic music	https://en.wikipedia.org/wiki/Milton_Babbitt	42147.0
Giacomo Balla	1871	1958.0	Italian			https://en.wikipedia.org/wiki/Giacomo_Balla	41953.0
Osvaldo Golijov	1960		Argentine			https://en.wikipedia.org/wiki/Osvaldo_Golijov	41611.0
Tan Dun	1957		Chinese	Water Passion after St. Matthew	Extended technique, Folk-influenced; also composer of film music:Crouching Tiger, Hidden Dragon	https://en.wikipedia.org/wiki/Tan_Dun	41330.0
Teresa Carreño	1853	1917.0	Venezuelan		Romanticism	https://en.wikipedia.org/wiki/Teresa_Carre%C3%B1o	41188.0
Antonino Buenaventura	1904	1996.0	Filipino			https://en.wikipedia.org/wiki/Antonino_Buenaventura	41042.0
Alberto Ginastera	1916	1983.0	Argentine	Bomarzo;Cinco canciones populares argentinas;Danzas Argentinas		https://en.wikipedia.org/wiki/Alberto_Ginastera	40888.0
Felipe Padilla de León	1912	1992.0	Filipino			https://en.wikipedia.org/wiki/Felipe_Padilla_de_Le%C3%B3n	40366.0
Luigi Russolo	1883	1947.0	Italian		futurism,noise music	https://en.wikipedia.org/wiki/Luigi_Russolo	40091.0
Herbert Howells	1892	1983.0	English	Hymnus paradisi		https://en.wikipedia.org/wiki/Herbert_Howells	40084.0
Hanns Eisler	1898	1962.0	German/Austrian	Auferstanden aus Ruinen(Eastern Germany national anthem)		https://en.wikipedia.org/wiki/Hanns_Eisler	40083.0
Judith Weir	1954		British			https://en.wikipedia.org/wiki/Judith_Weir	40057.0
