Name	Year of birth	Year of death	Nationality	Notable 20th-century works	Remarks	URL	Pageviews
Dimitri Terzakis	1938		Greek			https://en.wikipedia.org/wiki/Dimitri_Terzakis	1604.0
Miroslav Miletić	1925	2018.0	Croatian			https://en.wikipedia.org/wiki/Miroslav_Mileti%C4%87	1604.0
Yasuo Kuwahara	1946	2003.0	Japanese			https://en.wikipedia.org/wiki/Yasuo_Kuwahara	1602.0
Susan Morton Blaustein	1953		American			https://en.wikipedia.org/wiki/Susan_Morton_Blaustein	1602.0
Gábor Darvas	1911	1985.0	Hungarian		electronic music	https://en.wikipedia.org/wiki/G%C3%A1bor_Darvas	1602.0
Costin Miereanu	1943		French			https://en.wikipedia.org/wiki/Costin_Miereanu	1599.0
Fritz Heinrich Klein	1892	1977.0	Austrian			https://en.wikipedia.org/wiki/Fritz_Heinrich_Klein	1597.0
Reiner Bredemeyer	1929	1995.0	German			https://en.wikipedia.org/wiki/Reiner_Bredemeyer	1596.0
Carl Gustav Sparre Olsen	1903	1984.0	Norwegian			https://en.wikipedia.org/wiki/Carl_Gustav_Sparre_Olsen	1594.0
Raymond Wilding-White	1922	2001.0	English			https://en.wikipedia.org/wiki/Raymond_Wilding-White	1593.0
Linda Bouchard	1957		Canadian			https://en.wikipedia.org/wiki/Linda_Bouchard	1592.0
James Penberthy	1917	1999.0	Australian			https://en.wikipedia.org/wiki/James_Penberthy	1592.0
Juhan Simm	1885	1959.0	Estonian			https://en.wikipedia.org/wiki/Juhan_Simm	1591.0
Riccardo Malipiero	1914	2003.0	Italian		atonality,twelve-tone technique	https://en.wikipedia.org/wiki/Riccardo_Malipiero	1589.0
Robert Black	1950	1993.0	American			https://en.wikipedia.org/wiki/Robert_Black_(conductor)	1586.0
Joseph Ahrens	1904	1997.0	German			https://en.wikipedia.org/wiki/Joseph_Ahrens	1586.0
Cornelis de Bondt	1953		Dutch			https://en.wikipedia.org/wiki/Cornelis_de_Bondt	1585.0
Jurgis Karnavičius	1884	1941.0	Lithuanian			https://en.wikipedia.org/wiki/Jurgis_Karnavi%C4%8Dius_(composer)	1583.0
Pril Smiley	1943		American		electronic music	https://en.wikipedia.org/wiki/Pril_Smiley	1582.0
Emil Reesen	1887	1964.0	Danish		Operas	https://en.wikipedia.org/wiki/Emil_Reesen	1581.0
Frank Hutchens	1892	1965.0	Australian			https://en.wikipedia.org/wiki/Frank_Hutchens	1580.0
Philip Krumm	1941		American			https://en.wikipedia.org/wiki/Philip_Krumm	1579.0
Valery Zhelobinsky	1913	1946.0	Russian			https://en.wikipedia.org/wiki/Valery_Zhelobinsky	1578.0
Laura Lemon	1866	1924.0	Canadian			https://en.wikipedia.org/wiki/Laura_Lemon	1575.0
Herbert Blendinger	1936	2020.0	German-Austrian	viola concerto, cantataMdia in vita, string quartets	also a violist	https://en.wikipedia.org/wiki/Herbert_Blendinger	1575.0
Carmen Barradas	1888	1963.0	Uruguayan			https://en.wikipedia.org/wiki/Carmen_Barradas	1571.0
Fritz Geißler	1921	1984.0	German			https://en.wikipedia.org/wiki/Fritz_Gei%C3%9Fler	1571.0
Manuel Enríquez	1926	1994.0	Mexican			https://en.wikipedia.org/wiki/Manuel_Enr%C3%ADquez	1570.0
Česlovas Sasnauskas	1867	1916.0	Lithuanian			https://en.wikipedia.org/wiki/%C4%8Ceslovas_Sasnauskas	1569.0
Siegfried Alkan	1858	1941.0	German			https://en.wikipedia.org/wiki/Siegfried_Alkan	1569.0
Jean Eichelberger Ivey	1923	2010.0	American			https://en.wikipedia.org/wiki/Jean_Eichelberger_Ivey	1568.0
Frank Lynes	1858	1913.0	American			https://en.wikipedia.org/wiki/Frank_Lynes	1568.0
Yefim Golyshev	1897	1970.0	Ukrainian	String Trio		https://en.wikipedia.org/wiki/Yefim_Golyshev	1567.0
Qu Xixian	1919	2008.0	Chinese			https://en.wikipedia.org/wiki/Qu_Xixian	1567.0
Mikheil Kobakhidze	1939	2019.0	Georgian			https://en.wikipedia.org/wiki/Mikheil_Kobakhidze	1566.0
Jacques Leguerney	1906	1997.0	French			https://en.wikipedia.org/wiki/Jacques_Leguerney	1565.0
Karel Reiner	1910	1979.0	Czech			https://en.wikipedia.org/wiki/Karel_Reiner	1565.0
Elisabeth Kuyper	1877	1953.0	Dutch	Violin Concerto in B minor, Violin Sonata in A major, Piano Trio in D major		https://en.wikipedia.org/wiki/Elisabeth_Kuyper	1565.0
Nikolay Peyko	1916	1995.0	Russian			https://en.wikipedia.org/wiki/Nikolay_Peyko	1564.0
Roberto García Morillo	1911	2003.0	Argentine			https://en.wikipedia.org/wiki/Roberto_Garc%C3%ADa_Morillo	1563.0
Mirrie Hill	1892	1986.0	Australian			https://en.wikipedia.org/wiki/Mirrie_Hill	1563.0
Emil Hlobil	1901	1987.0	Czechoslovakian			https://en.wikipedia.org/wiki/Emil_Hlobil	1562.0
Fran Lhotka	1883	1962.0	Czech-born Croatian			https://en.wikipedia.org/wiki/Fran_Lhotka	1560.0
Borghild Holmsen	1865	1938.0	Norwegian			https://en.wikipedia.org/wiki/Borghild_Holmsen	1559.0
Janet Maguire	1927	2019.0	Austrian			https://en.wikipedia.org/wiki/Janet_Maguire	1559.0
Hans Stadlmair	1929	2019.0	Austrian	Trumpet Concerto with strings;Saxofonia;Miró		https://en.wikipedia.org/wiki/Hans_Stadlmair	1558.0
Gena Branscombe	1881	1977.0	Canadian			https://en.wikipedia.org/wiki/Gena_Branscombe	1558.0
Michel Philippot	1925	1996.0	French			https://en.wikipedia.org/wiki/Michel_Philippot	1556.0
Eduardo Alonso-Crespo	1956		Argentine			https://en.wikipedia.org/wiki/Eduardo_Alonso-Crespo	1556.0
Edward Applebaum	1937	2020.0	American			https://en.wikipedia.org/wiki/Edward_Applebaum	1556.0
Henk van Lijnschooten	1928	2006.0	Dutch			https://en.wikipedia.org/wiki/Henk_van_Lijnschooten	1555.0
Cecilia Arizti	1856	1930.0	Cuban			https://en.wikipedia.org/wiki/Cecilia_Arizti	1554.0
Harilaos Perpessas	1907	1995.0	Greek	Christus Symphony		https://en.wikipedia.org/wiki/Harilaos_Perpessas	1554.0
Heinz Eric Roemheld	1901	1985.0	American			https://en.wikipedia.org/wiki/Heinz_Eric_Roemheld	1553.0
Robert Wykes	1926	2021.0	American			https://en.wikipedia.org/wiki/Robert_Wykes	1553.0
Joaquim Homs	1906	2003.0	Spanish			https://en.wikipedia.org/wiki/Joaquim_Homs	1552.0
Milton Adolphus	1913	1988.0	American			https://en.wikipedia.org/wiki/Milton_Adolphus	1552.0
Earl Howard	1951		American		avant-garde	https://en.wikipedia.org/wiki/Earl_Howard	1550.0
Gerard von Brucken Fock	1859	1935.0	Dutch	De wederkomst van Christus		https://en.wikipedia.org/wiki/Gerard_von_Brucken_Fock	1549.0
Sinta Wullur	1958		Indonesian-Dutch			https://en.wikipedia.org/wiki/Sinta_Wullur	1549.0
Nathan Currier	1960		American	Gaian Variations		https://en.wikipedia.org/wiki/Nathan_Currier	1548.0
Adriano Lualdi	1885	1971.0	Italian			https://en.wikipedia.org/wiki/Adriano_Lualdi	1547.0
Kurken Alemshah	1907	1947.0	Armenian			https://en.wikipedia.org/wiki/Kurken_Alemshah	1546.0
Felix Petyrek	1892	1951.0	Austrian			https://en.wikipedia.org/wiki/Felix_Petyrek	1545.0
Graciela Agudelo	1945	2018.0	Mexican			https://en.wikipedia.org/wiki/Graciela_Agudelo	1543.0
Richard Festinger	1948		American			https://en.wikipedia.org/wiki/Richard_Festinger	1539.0
Arkady Luxemburg	1939		Moldovan-American			https://en.wikipedia.org/wiki/Arkady_Luxemburg	1538.0
Ann-Elise Hannikainen	1946	2012.0	Finnish			https://en.wikipedia.org/wiki/Ann-Elise_Hannikainen	1538.0
Éric Gaudibert	1936	2012.0	Swiss			https://en.wikipedia.org/wiki/%C3%89ric_Gaudibert	1534.0
Otakar Zich	1879	1934.0	Czech			https://en.wikipedia.org/wiki/Otakar_Zich	1533.0
Richard Rijnvos	1964		Dutch	Block Beuys		https://en.wikipedia.org/wiki/Richard_Rijnvos	1530.0
Jeanne Leleu	1898	1979.0	French			https://en.wikipedia.org/wiki/Jeanne_Leleu	1529.0
Mansi Barberis	1899	1986.0	Romanian			https://en.wikipedia.org/wiki/Mansi_Barberis	1528.0
Otomar Kvěch	1950	2018.0	Czech			https://en.wikipedia.org/wiki/Otomar_Kv%C4%9Bch	1528.0
Pietro Floridia	1860	1932.0	Italian			https://en.wikipedia.org/wiki/Pietro_Floridia	1527.0
Ilse Fromm-Michaels	1888	1986.0	German			https://en.wikipedia.org/wiki/Ilse_Fromm-Michaels	1526.0
Leo Kraft	1922	2014.0	American			https://en.wikipedia.org/wiki/Leo_Kraft	1525.0
Walter Steffens	1934		German			https://en.wikipedia.org/wiki/Walter_Steffens_(composer)	1525.0
Anthony A. Mitchell	1918	2009.0	American			https://en.wikipedia.org/wiki/Anthony_A._Mitchell	1523.0
Stefano Gervasoni	1962		Italian			https://en.wikipedia.org/wiki/Stefano_Gervasoni	1522.0
Édouard Commette	1883	1967.0	French			https://en.wikipedia.org/wiki/%C3%89douard_Commette	1522.0
Daniel Goode	1936		American			https://en.wikipedia.org/wiki/Daniel_Goode	1521.0
Robert Docker	1918	1992.0	English			https://en.wikipedia.org/wiki/Robert_Docker	1519.0
Jean-Étienne Marie	1917	1989.0	French			https://en.wikipedia.org/wiki/Jean-%C3%89tienne_Marie	1518.0
Zakaria Paliashvili	1871	1933.0	Georgian	OperasAbesalom da Eteri,Daisi,Latavra		https://en.wikipedia.org/wiki/Zakaria_Paliashvili	1515.0
Odette Gartenlaub	1922	2014.0	French			https://en.wikipedia.org/wiki/Odette_Gartenlaub	1514.0
Carlos Azevedo	1949	2012.0	Portuguese			https://en.wikipedia.org/wiki/Carlos_Azevedo	1514.0
Alden Jenks	1940		American			https://en.wikipedia.org/wiki/Alden_Jenks	1510.0
Victor Dolidze	1890	1933.0	Soviet Georgian			https://en.wikipedia.org/wiki/Victor_Dolidze_(composer)	1508.0
Harrison Oxley	1933	2009.0	British			https://en.wikipedia.org/wiki/Harrison_Oxley	1507.0
Caroline Ansink	1959		Dutch			https://en.wikipedia.org/wiki/Caroline_Ansink	1507.0
Nihad Hrustanbegovic	1973		Bosnian-Dutch	Stork suite;Sevdah Medieval Rhapsody	minimalism; also a composer of film music, and an improviser	https://en.wikipedia.org/wiki/Nihad_Hrustanbegovic	1506.0
Denise Tolkowsky	1918	1991.0	English			https://en.wikipedia.org/wiki/Denise_Tolkowsky	1504.0
W. H. Jude	1851	1922.0	English			https://en.wikipedia.org/wiki/W._H._Jude	1502.0
Jay Reise	1950		American			https://en.wikipedia.org/wiki/Jay_Reise	1502.0
Charles Jones	1910	1997.0	Canadian			https://en.wikipedia.org/wiki/Charles_Jones_(composer)	1500.0
Caradog Roberts	1878	1935.0	Welsh			https://en.wikipedia.org/wiki/Caradog_Roberts	1500.0
Daniel Felsenfeld	1970		American	Insomnia Redux		https://en.wikipedia.org/wiki/Daniel_Felsenfeld	1496.0
Emil Bohnke	1888	1928.0	German			https://en.wikipedia.org/wiki/Emil_Bohnke	1496.0
Mary Ellen Childs	1957		American			https://en.wikipedia.org/wiki/Mary_Ellen_Childs	1496.0
Jonas Švedas	1908	1971.0	Lithuanian			https://en.wikipedia.org/wiki/Jonas_%C5%A0vedas	1495.0
Sergei Agababov	1926	1959.0	Russian			https://en.wikipedia.org/wiki/Sergei_Agababov	1494.0
Hope Temple	1859	1938.0	Irish			https://en.wikipedia.org/wiki/Hope_Temple	1494.0
Joséphine Boulay	1869	1925.0	French			https://en.wikipedia.org/wiki/Jos%C3%A9phine_Boulay	1491.0
Kunihiko Hashimoto	1904	1949.0	Japanese			https://en.wikipedia.org/wiki/Kunihiko_Hashimoto	1490.0
Ciarán Farrell	1969		Irish			https://en.wikipedia.org/wiki/Ciar%C3%A1n_Farrell	1488.0
Matilde Capuis	1913	2017.0	Italian			https://en.wikipedia.org/wiki/Matilde_Capuis	1485.0
Christopher Headington	1930	1996.0	British			https://en.wikipedia.org/wiki/Christopher_Headington	1483.0
Solange Ancona	1943		French			https://en.wikipedia.org/wiki/Solange_Ancona	1480.0
Vitaly Bujanovsky	1928	1993.0	Russian			https://en.wikipedia.org/wiki/Vitaly_Bujanovsky	1480.0
Lucien Martin	1908	1950.0	Canadian			https://en.wikipedia.org/wiki/Lucien_Martin	1480.0
Daniel Sternefeld	1905	1986.0	Belgian			https://en.wikipedia.org/wiki/Daniel_Sternefeld	1480.0
Edmund Nick	1891	1974.0	German			https://en.wikipedia.org/wiki/Edmund_Nick	1479.0
André Laporte	1931		Belgian	Das Schloss	eclectic	https://en.wikipedia.org/wiki/Andr%C3%A9_Laporte	1478.0
Franz Salmhofer	1900	1975.0	Austrian	Lieder: Heiteres Herbarium	Late romantic / progressive	https://en.wikipedia.org/wiki/Franz_Salmhofer	1475.0
Teresa Rampazzi	1914	2001.0	Italian			https://en.wikipedia.org/wiki/Teresa_Rampazzi	1474.0
Zsolt Gárdonyi	1946		Hungarian German	Magnificat,Mozart Changes(organ)		https://en.wikipedia.org/wiki/Zsolt_G%C3%A1rdonyi	1474.0
Václav Kaprál	1889	1947.0	Czech			https://en.wikipedia.org/wiki/V%C3%A1clav_Kapr%C3%A1l	1474.0
Emil Ábrányi	1882	1970.0	Hungarian			https://en.wikipedia.org/wiki/Emil_%C3%81br%C3%A1nyi	1472.0
Andrea Cera	1969		Italian		Electroacoustic	https://en.wikipedia.org/wiki/Andrea_Cera	1471.0
Marguerite Béclard d'Harcourt	1884	1964.0	French			https://en.wikipedia.org/wiki/Marguerite_B%C3%A9clard_d%27Harcourt	1470.0
Karl Clausen	1904	1972.0	Danish			https://en.wikipedia.org/wiki/Karl_Clausen	1468.0
Leon Milo	1956	2014.0	American	TimeTexturefor piano and electronics	electroacoustic music	https://en.wikipedia.org/wiki/Leon_Milo	1468.0
Narcisa Freixas	1859	1926.0	Spanish			https://en.wikipedia.org/wiki/Narcisa_Freixas	1468.0
Yasuji Kiyose	1900	1981.0	Japanese			https://en.wikipedia.org/wiki/Yasuji_Kiyose	1467.0
Miguel Ángel Coria	1937	2016.0	Spanish			https://en.wikipedia.org/wiki/Miguel_%C3%81ngel_Coria	1465.0
Jay Sydeman	1928	2021.0	American			https://en.wikipedia.org/wiki/Jay_Sydeman	1465.0
Henri Challan	1910	1977.0	French			https://en.wikipedia.org/wiki/Henri_Challan	1462.0
Theodor Blumer	1881	1964.0	German			https://en.wikipedia.org/wiki/Theodor_Blumer	1461.0
Joseph Friedrich Hummel	1841	1919.0	Austrian			https://en.wikipedia.org/wiki/Joseph_Friedrich_Hummel	1461.0
William H. Potstock	1872	1941.0	American			https://en.wikipedia.org/wiki/William_H._Potstock	1461.0
Jenő Huszka	1875	1960.0	Hungarian			https://en.wikipedia.org/wiki/Jen%C5%91_Huszka	1460.0
Giuseppe Branzoli	1835	1909.0	Italian			https://en.wikipedia.org/wiki/Giuseppe_Branzoli	1458.0
John Melby	1941		American			https://en.wikipedia.org/wiki/John_Melby	1458.0
Vilém Petrželka	1889	1969.0	Czech			https://en.wikipedia.org/wiki/Vil%C3%A9m_Petr%C5%BEelka	1453.0
Normand Lockwood	1906	2002.0	American			https://en.wikipedia.org/wiki/Normand_Lockwood	1452.0
Albert Mallinson	1878	1946.0	British			https://en.wikipedia.org/wiki/Albert_Mallinson	1450.0
Carmela Mackenna	1879	1962.0	Chilean			https://en.wikipedia.org/wiki/Carmela_Mackenna	1449.0
Maria Dolores Malumbres	1931	2019.0	Spanish			https://en.wikipedia.org/wiki/Maria_Dolores_Malumbres	1449.0
Jaroslav Řídký	1897	1956.0	Czech			https://en.wikipedia.org/wiki/Jaroslav_%C5%98%C3%ADdk%C3%BD	1448.0
Constança Capdeville	1937	1992.0	Portuguese			https://en.wikipedia.org/wiki/Constan%C3%A7a_Capdeville	1447.0
Isabel Aretz	1909	2005.0	Argentine-Venezuelan			https://en.wikipedia.org/wiki/Isabel_Aretz	1445.0
Mustafa Krantja	1921	2002.0	Albanian			https://en.wikipedia.org/wiki/Mustafa_Krantja	1441.0
Dieter Acker	1940	2006.0	German			https://en.wikipedia.org/wiki/Dieter_Acker	1440.0
John Worley	1919	1999.0	American			https://en.wikipedia.org/wiki/John_Worley	1439.0
Warren Martin	1916	1982.0	American			https://en.wikipedia.org/wiki/Warren_Martin	1438.0
Adolphe Biarent	1871	1916.0	Belgian			https://en.wikipedia.org/wiki/Adolphe_Biarent	1437.0
Werner Kaegi	1926		Swiss		electronic music	https://en.wikipedia.org/wiki/Werner_Kaegi_(composer)	1436.0
Otto Winter-Hjelm	1837	1931.0	Norwegian			https://en.wikipedia.org/wiki/Otto_Winter-Hjelm	1435.0
Gerd Kühr	1952		German	operasStallerhof,Tod und Teufel		https://en.wikipedia.org/wiki/Gerd_K%C3%BChr	1434.0
Qu Xiao-Song	1952		Chinese			https://en.wikipedia.org/wiki/Qu_Xiao-Song	1432.0
Tatyana Sergeyeva	1952		Russian			https://en.wikipedia.org/wiki/Tatyana_Sergeyeva	1432.0
Juozas Gruodis	1884	1948.0	Lithuanian			https://en.wikipedia.org/wiki/Juozas_Gruodis	1431.0
Rhoda Coghill	1903	2000.0	Irish			https://en.wikipedia.org/wiki/Rhoda_Coghill	1430.0
Axel Gade	1860	1921.0	Danish			https://en.wikipedia.org/wiki/Axel_Gade	1429.0
John Lessard	1920	2003.0	American			https://en.wikipedia.org/wiki/John_Lessard	1429.0
Gabrielle Ferrari	1851	1921.0	French-Italian			https://en.wikipedia.org/wiki/Gabrielle_Ferrari	1428.0
Sirvart Kalpakyan Karamanuk	1912	2008.0	Armenian			https://en.wikipedia.org/wiki/Sirvart_Kalpakyan_Karamanuk	1427.0
Robert Ian Winstin	1959	2010.0	American			https://en.wikipedia.org/wiki/Robert_Ian_Winstin	1424.0
Friedrich Schröder	1910	1972.0	German		light music	https://en.wikipedia.org/wiki/Friedrich_Schr%C3%B6der	1424.0
Charles Roland Berry	1957		American			https://en.wikipedia.org/wiki/Charles_Roland_Berry	1424.0
David Vaughan Thomas	1873	1934.0	Welsh			https://en.wikipedia.org/wiki/David_Vaughan_Thomas	1424.0
Khayyam Mirzazade	1935	2018.0	Azerbaijani			https://en.wikipedia.org/wiki/Khayyam_Mirzazade	1422.0
Amos Elkana	1967		Israeli			https://en.wikipedia.org/wiki/Amos_Elkana	1421.0
Laurence Traiger	1956		American			https://en.wikipedia.org/wiki/Laurence_Traiger	1420.0
Chen Peixun	1922	2007.0	Chinese			https://en.wikipedia.org/wiki/Chen_Peixun	1419.0
Alberto Jonás	1868	1943.0	Spanish			https://en.wikipedia.org/wiki/Alberto_Jon%C3%A1s	1419.0
Julie Rivé-King	1854	1937.0	American			https://en.wikipedia.org/wiki/Julie_Riv%C3%A9-King	1417.0
Laci Boldemann	1921	1969.0	Swedish			https://en.wikipedia.org/wiki/Laci_Boldemann	1416.0
Witold Szalonek	1927	2001.0	Polish			https://en.wikipedia.org/wiki/Witold_Szalonek	1413.0
Martin Scherber	1907	1974.0	German			https://en.wikipedia.org/wiki/Martin_Scherber	1413.0
Hermann Bischoff	1868	1936.0	German			https://en.wikipedia.org/wiki/Hermann_Bischoff	1411.0
Adel Kamel	1942	2003.0	Egyptian			https://en.wikipedia.org/wiki/Adel_Kamel	1410.0
Augustin Barié	1883	1915.0	French			https://en.wikipedia.org/wiki/Augustin_Bari%C3%A9	1409.0
Aleksey Zhivotov	1904	1964.0	Russian			https://en.wikipedia.org/wiki/Aleksey_Zhivotov	1407.0
Bern Herbolsheimer	1948	2016.0	American	Aria da capo(opera)		https://en.wikipedia.org/wiki/Bern_Herbolsheimer	1406.0
Emiliana de Zubeldia	1888	1987.0	Spanish			https://en.wikipedia.org/wiki/Emiliana_de_Zubeldia	1405.0
Sergei Aslamazyan	1897	1978.0	Armenian			https://en.wikipedia.org/wiki/Sergei_Aslamazyan	1404.0
Petar Stojanović	1877	1957.0	Serbian			https://en.wikipedia.org/wiki/Petar_Stojanovi%C4%87_(composer)	1403.0
Stasys Šimkus	1887	1943.0	Lithuanian			https://en.wikipedia.org/wiki/Stasys_%C5%A0imkus	1403.0
Stéphane Delplace	1953		French			https://en.wikipedia.org/wiki/St%C3%A9phane_Delplace	1403.0
Lino Liviabella	1902	1964.0	Italian			https://en.wikipedia.org/wiki/Lino_Liviabella	1403.0
Stanley Hollingsworth	1924	2003.0	American			https://en.wikipedia.org/wiki/Stanley_Hollingsworth	1401.0
Eda Rapoport	1890	1968.0	American			https://en.wikipedia.org/wiki/Eda_Rapoport	1400.0
Ion Nonna Otescu	1888	1940.0	Romanian			https://en.wikipedia.org/wiki/Ion_Nonna_Otescu	1400.0
Judith Clingan	1945		Australian			https://en.wikipedia.org/wiki/Judith_Clingan	1399.0
Bernd Redmann	1965		German	operaDie Gehetzten, orchestraFiasko, chamberMigrant		https://en.wikipedia.org/wiki/Bernd_Redmann	1399.0
Lucien Goethals	1931	2006.0	Belgian		serialism, electronic music	https://en.wikipedia.org/wiki/Lucien_Goethals	1397.0
Priti Paintal	1960		Indian			https://en.wikipedia.org/wiki/Priti_Paintal	1395.0
Ernst Perabo	1845	1920.0	German-born American			https://en.wikipedia.org/wiki/Ernst_Perabo	1394.0
Pedro Humberto Allende	1885	1959.0	Chilean			https://en.wikipedia.org/wiki/Pedro_Humberto_Allende	1392.0
Peter Mieg	1906	1990.0	Swiss		neoclassical	https://en.wikipedia.org/wiki/Peter_Mieg	1392.0
Eric Moe	1954		American			https://en.wikipedia.org/wiki/Eric_Moe_(composer)	1391.0
Gheorghi Arnaoudov	1957		Bulgarian		minimalism	https://en.wikipedia.org/wiki/Gheorghi_Arnaoudov	1390.0
Felipe Pedrell	1842	1922.0	Spanish			https://en.wikipedia.org/wiki/Felipe_Pedrell	1390.0
Geoffrey Poole	1949		English			https://en.wikipedia.org/wiki/Geoffrey_Poole	1389.0
James Cutler Dunn Parker	1828	1916.0	American		Romanticism	https://en.wikipedia.org/wiki/James_Cutler_Dunn_Parker	1388.0
Primož Ramovš	1921	1999.0	Slovenian			https://en.wikipedia.org/wiki/Primo%C5%BE_Ramov%C5%A1	1387.0
Yusef Greiss	1899	1961.0	Egyptian			https://en.wikipedia.org/wiki/Yusef_Greiss	1384.0
Hildor Lundvik	1885	1951.0	Swedish			https://en.wikipedia.org/wiki/Hildor_Lundvik	1383.0
Lucia Contini Anselmi	1876	1913.0	Italian			https://en.wikipedia.org/wiki/Lucia_Contini_Anselmi	1380.0
Mohamed Jamoussi	1910	1982.0	Tunisian			https://en.wikipedia.org/wiki/Mohamed_Jamoussi	1380.0
Gyula Dávid	1913	1977.0	Hungarian			https://en.wikipedia.org/wiki/Gyula_D%C3%A1vid	1379.0
James Harley	1959		Canadian			https://en.wikipedia.org/wiki/James_Harley	1378.0
Doina Rotaru	1951		Romanian	Concerto for clarinet and orchestra;Florilegium, concerto for flute and flutes orchestra;Wings of Lightfor 24 flutists		https://en.wikipedia.org/wiki/Doina_Rotaru	1377.0
Xiao Shuxian	1905	1991.0	Chinese			https://en.wikipedia.org/wiki/Xiao_Shuxian	1377.0
Povl Kjøller	1937	1999.0	Danish			https://en.wikipedia.org/wiki/Povl_Kj%C3%B8ller	1377.0
Antony le Fleming	1941		English			https://en.wikipedia.org/wiki/Antony_le_Fleming	1375.0
Helen Glatz	1908	1996.0	English			https://en.wikipedia.org/wiki/Helen_Glatz	1374.0
Moshe Zorman	1952		Israeli			https://en.wikipedia.org/wiki/Moshe_Zorman	1374.0
Ādolfs Skulte	1909	2000.0	Latvian			https://en.wikipedia.org/wiki/%C4%80dolfs_Skulte	1372.0
Carl Verbraeken	1950		Belgian			https://en.wikipedia.org/wiki/Carl_Verbraeken	1372.0
Ivo Petrić	1931	2018.0	Slovenian			https://en.wikipedia.org/wiki/Ivo_Petri%C4%87	1372.0
Harold Van Heuvelen	1919	2017.0	American			https://en.wikipedia.org/wiki/Harold_Van_Heuvelen	1369.0
Zurab Nadareishvili	1957		Georgian			https://en.wikipedia.org/wiki/Zurab_Nadareishvili	1367.0
Emmy Wegener	1901	1973.0	Dutch			https://en.wikipedia.org/wiki/Emmy_Wegener	1366.0
Jan Håkan Åberg	1916	2012.0	Swedish			https://en.wikipedia.org/wiki/Jan_H%C3%A5kan_%C3%85berg	1364.0
Lindley Evans	1895	1982.0	South African-born Australian			https://en.wikipedia.org/wiki/Lindley_Evans	1364.0
Takekuni Hirayoshi	1936	1998.0	Japanese			https://en.wikipedia.org/wiki/Takekuni_Hirayoshi	1364.0
Axel Borup-Jørgensen	1924	2012.0	Danish			https://en.wikipedia.org/wiki/Axel_Borup-J%C3%B8rgensen	1363.0
José Antonio Bottiroli	1920	1990.0	Argentine			https://en.wikipedia.org/wiki/Jos%C3%A9_Antonio_Bottiroli	1361.0
Robert Suderburg	1936	2013.0	American	"Concerto,Within the Mirror of Time, for piano and orchestra;Chamber Music VII(""Ceremonies"")"		https://en.wikipedia.org/wiki/Robert_Suderburg	1361.0
Ahmed Achour	1945	2021.0	Tunisian	Concerto for clarinet and orchestra		https://en.wikipedia.org/wiki/Ahmed_Achour	1360.0
Gordon McPherson	1965		Scottish			https://en.wikipedia.org/wiki/Gordon_McPherson	1359.0
Katharine Emily Eggar	1874	1961.0	English			https://en.wikipedia.org/wiki/Katharine_Emily_Eggar	1356.0
Philip Greeley Clapp	1888	1954.0	American	12 symphonies		https://en.wikipedia.org/wiki/Philip_Greeley_Clapp	1354.0
Zorko Prelovec	1887	1939.0	Slovenian			https://en.wikipedia.org/wiki/Zorko_Prelovec	1354.0
Helmut Eder	1916	2005.0	Austrian			https://en.wikipedia.org/wiki/Helmut_Eder	1351.0
Benjamin Burrows	1891	1966.0	English			https://en.wikipedia.org/wiki/Benjamin_Burrows	1350.0
Joseph Callaerts	1838	1901.0	Belgian			https://en.wikipedia.org/wiki/Joseph_Callaerts	1348.0
Otakar Jeremiáš	1892	1962.0	Czech			https://en.wikipedia.org/wiki/Otakar_Jeremi%C3%A1%C5%A1	1348.0
Jean-Yves Bosseur	1947		French			https://en.wikipedia.org/wiki/Jean-Yves_Bosseur	1346.0
Avo Sõmer	1934		American			https://en.wikipedia.org/wiki/Avo_S%C3%B5mer	1345.0
Roger Craig Vogel	1947		American			https://en.wikipedia.org/wiki/Roger_Craig_Vogel	1345.0
Maurice Le Boucher	1882	1964.0	French			https://en.wikipedia.org/wiki/Maurice_Le_Boucher	1345.0
Haruna Miyake	1942		Japanese			https://en.wikipedia.org/wiki/Haruna_Miyake	1344.0
Adina Izarra	1959		Venezuelan			https://en.wikipedia.org/wiki/Adina_Izarra	1344.0
Zbyněk Vostřák	1920	1985.0	Czech			https://en.wikipedia.org/wiki/Zbyn%C4%9Bk_Vost%C5%99%C3%A1k	1341.0
Gregory Short	1938	1999.0	American			https://en.wikipedia.org/wiki/Gregory_Short	1340.0
Edmund Jenkins	1894	1926.0	American			https://en.wikipedia.org/wiki/Edmund_Jenkins	1337.0
Graziella Concas	1970		Italian			https://en.wikipedia.org/wiki/Graziella_Concas	1337.0
María de las Mercedes Adam de Aróstegui	1873	1957.0	Cuban			https://en.wikipedia.org/wiki/Mar%C3%ADa_de_las_Mercedes_Adam_de_Ar%C3%B3stegui	1337.0
Ladislav Vycpálek	1882	1969.0	Czech			https://en.wikipedia.org/wiki/Ladislav_Vycp%C3%A1lek	1334.0
Gian Paolo Chiti	1939		Italian			https://en.wikipedia.org/wiki/Gian_Paolo_Chiti	1334.0
George Balch Wilson	1927	2021.0	American			https://en.wikipedia.org/wiki/George_Balch_Wilson	1333.0
Maxime Jacob	1906	1977.0	French			https://en.wikipedia.org/wiki/Maxime_Jacob	1333.0
