Name	Year of birth	Year of death	Nationality	Notable 20th-century works	Remarks	URL	Pageviews	IMSLP_URL	IMSLP_Exists
Edgar Manas	1875	1964.0	Turkish			https://en.wikipedia.org/wiki/Edgar_Manas	4883.0	https://imslp.org/wiki/Category:Manas,_Edgar	False
Oskar Nedbal	1874	1930.0	Czech			https://en.wikipedia.org/wiki/Oskar_Nedbal	4879.0	https://imslp.org/wiki/Category:Nedbal,_Oskar	True
Paweł Mykietyn	1971		Polish			https://en.wikipedia.org/wiki/Pawe%C5%82_Mykietyn	4876.0	https://imslp.org/wiki/Category:Mykietyn,_Paweł	False
Arthur Berger	1912	2003.0	American			https://en.wikipedia.org/wiki/Arthur_Berger_(composer)	4876.0	https://imslp.org/wiki/Category:Berger,_Arthur	True
Gordon Crosse	1937	2021.0	British			https://en.wikipedia.org/wiki/Gordon_Crosse	4873.0	https://imslp.org/wiki/Category:Crosse,_Gordon	False
W. Francis McBeth	1933	2012.0	American			https://en.wikipedia.org/wiki/W._Francis_McBeth	4869.0	https://imslp.org/wiki/Category:McBeth,_W._Francis	False
Hilding Rosenberg	1892	1985.0	Swedish	Violin Concerto		https://en.wikipedia.org/wiki/Hilding_Rosenberg	4868.0	https://imslp.org/wiki/Category:Rosenberg,_Hilding	True
Alexei Stanchinsky	1888	1914.0	Russian			https://en.wikipedia.org/wiki/Alexei_Stanchinsky	4868.0	https://imslp.org/wiki/Category:Stanchinsky,_Alexei	True
Joly Braga Santos	1924	1988.0	Portuguese			https://en.wikipedia.org/wiki/Joly_Braga_Santos	4860.0	https://imslp.org/wiki/Category:Santos,_Joly_Braga	False
Walter Goehr	1903	1960.0	German			https://en.wikipedia.org/wiki/Walter_Goehr	4854.0	https://imslp.org/wiki/Category:Goehr,_Walter	True
Leonard Kastle	1929	2011.0	American			https://en.wikipedia.org/wiki/Leonard_Kastle	4852.0	https://imslp.org/wiki/Category:Kastle,_Leonard	False
Kōsaku Yamada	1886	1965.0	Japanese	Overture in D major		https://en.wikipedia.org/wiki/K%C5%8Dsaku_Yamada	4840.0	https://imslp.org/wiki/Category:Yamada,_Kōsaku	True
Daniel Pinkham	1923	2006.0	American			https://en.wikipedia.org/wiki/Daniel_Pinkham	4836.0	https://imslp.org/wiki/Category:Pinkham,_Daniel	True
Avner Dorman	1975		Israeli			https://en.wikipedia.org/wiki/Avner_Dorman	4821.0	https://imslp.org/wiki/Category:Dorman,_Avner	False
Julius Conus	1869	1942.0	Russian			https://en.wikipedia.org/wiki/Julius_Conus	4819.0	https://imslp.org/wiki/Category:Conus,_Julius	True
Hale Smith	1925	2009.0	American			https://en.wikipedia.org/wiki/Hale_Smith	4794.0	https://imslp.org/wiki/Category:Smith,_Hale	False
Asger Hamerik	1843	1923.0	Danish	"Variations on ""Jeg gik mig ud en sommerdag"""		https://en.wikipedia.org/wiki/Asger_Hamerik	4790.0	https://imslp.org/wiki/Category:Hamerik,_Asger	True
Pablo Sorozábal	1897	1988.0	Spanish			https://en.wikipedia.org/wiki/Pablo_Soroz%C3%A1bal	4788.0	https://imslp.org/wiki/Category:Sorozábal,_Pablo	False
Richard Maxfield	1927	1969.0	American			https://en.wikipedia.org/wiki/Richard_Maxfield	4786.0	https://imslp.org/wiki/Category:Maxfield,_Richard	False
Zygmunt Noskowski	1846	1909.0	Polish			https://en.wikipedia.org/wiki/Zygmunt_Noskowski	4777.0	https://imslp.org/wiki/Category:Noskowski,_Zygmunt	True
Marcel Tournier	1879	1951.0	French			https://en.wikipedia.org/wiki/Marcel_Tournier	4775.0	https://imslp.org/wiki/Category:Tournier,_Marcel	True
